variable,estimate,lci,uci,type,group,est_ci,gender,cesd_ge3
cesd_ge3,35.2,32.2,38.4,Proportion,NA,"35.2 (32.2, 38.4)",Female,Total
cesd_ge5,20.1,17.4,23.1,Proportion,NA,"20.1 (17.4, 23.1)",Female,Total
cesd_ge6,13.8,11.7,16.3,Proportion,NA,"13.8 (11.7, 16.3)",Female,Total
medication_bp,69.8,66.2,73.2,Proportion,NA,"69.8 (66.2, 73.2)",Male,Total
medication_dm,84.9,82.1,87.3,Proportion,NA,"84.9 (82.1, 87.3)",Male,Total
rxdiabi,27.2,24,30.6,Proportion,NA,"27.2 (24, 30.6)",Male,Total
rxdiabo,72.6,68.8,76,Proportion,NA,"72.6 (68.8, 76)",Male,Total
rxstrok,5.9,4.7,7.5,Proportion,NA,"5.9 (4.7, 7.5)",Male,Total
rxangina,5.7,4.1,7.7,Proportion,NA,"5.7 (4.1, 7.7)",Male,Total
rxchf,8.1,6.7,9.9,Proportion,NA,"8.1 (6.7, 9.9)",Male,Total
rxarthr,24,21.3,27,Proportion,NA,"24 (21.3, 27)",Male,Total
rxlung,8.3,6.5,10.5,Proportion,NA,"8.3 (6.5, 10.5)",Male,Total
rxpsych,15.1,12.3,18.3,Proportion,NA,"15.1 (12.3, 18.3)",Male,Total
rxcancr,1.5,0.8,2.7,Proportion,NA,"1.5 (0.8, 2.7)",Male,Total
rxhrtat,4.2,3,5.8,Proportion,NA,"4.2 (3, 5.8)",Male,Total
rxheart,29.7,26.5,33.1,Proportion,NA,"29.7 (26.5, 33.1)",Male,Total
rxmemry,3.2,2.1,4.9,Proportion,NA,"3.2 (2.1, 4.9)",Male,Total
rxhchol,67.7,64.2,70.9,Proportion,NA,"67.7 (64.2, 70.9)",Male,Total
rxbreath,17.3,15,20,Proportion,NA,"17.3 (15, 20)",Male,Total
rxstomach,20.8,18.4,23.4,Proportion,NA,"20.8 (18.4, 23.4)",Male,Total
rxdepres,20.4,17.7,23.4,Proportion,NA,"20.4 (17.7, 23.4)",Male,Total
alcohol,49.5,45.4,53.6,Proportion,NA,"49.5 (45.4, 53.6)",Male,Total
diagnosed_bp,74.6,71.4,77.6,Proportion,NA,"74.6 (71.4, 77.6)",Male,Total
htn,83,80.2,85.5,Proportion,NA,"83 (80.2, 85.5)",Male,Total
alzh_demen,3.4,2.3,5.1,Proportion,NA,"3.4 (2.3, 5.1)",Male,Total
bmi_underweight,0.1,0,0.3,Proportion,NA,"0.1 (0, 0.3)",Male,Total
bmi_overweight,30.7,27.2,34.6,Proportion,NA,"30.7 (27.2, 34.6)",Male,Total
bmi_obese,56,51.7,60.1,Proportion,NA,"56 (51.7, 60.1)",Male,Total
fall_any,27.9,24.6,31.4,Proportion,NA,"27.9 (24.6, 31.4)",Male,Total
fall_injury,22.1,17.5,27.5,Proportion,NA,"22.1 (17.5, 27.5)",Male,Total
fracture_hip,2.7,1.8,4,Proportion,NA,"2.7 (1.8, 4)",Male,Total
control_a1c,68.8,64.7,72.7,Proportion,NA,"68.8 (64.7, 72.7)",Male,Total
control_bp,63.6,59.3,67.6,Proportion,NA,"63.6 (59.3, 67.6)",Male,Total
control_chol,45.4,40.6,50.2,Proportion,NA,"45.4 (40.6, 50.2)",Male,Total
control_joint,22.2,18.6,26.3,Proportion,NA,"22.2 (18.6, 26.3)",Male,Total
heavydrinker,6.8,5.4,8.7,Proportion,NA,"6.8 (5.4, 8.7)",Male,Total
vision_impairment,14.3,11.7,17.5,Proportion,NA,"14.3 (11.7, 17.5)",Male,Total
balance_impairment,26,22.4,30.1,Proportion,NA,"26 (22.4, 30.1)",Male,Total
married,69.6,66,72.9,Proportion,NA,"69.6 (66, 72.9)",Male,Total
cesd_ge3,29.9,26.8,33.3,Proportion,NA,"29.9 (26.8, 33.3)",Male,Total
cesd_ge5,15.6,12.9,18.8,Proportion,NA,"15.6 (12.9, 18.8)",Male,Total
cesd_ge6,10.2,7.9,13.1,Proportion,NA,"10.2 (7.9, 13.1)",Male,Total
age_category,40.1,36.1,44.3,Grouped,50_64,"40.1 (36.1, 44.3)",Female,Total
age_category,28.1,25.6,30.9,Grouped,65_74,"28.1 (25.6, 30.9)",Female,Total
age_category,21.9,19.1,25,Grouped,75_84,"21.9 (19.1, 25)",Female,Total
age_category,9.8,8.1,11.9,Grouped,85_over,"9.8 (8.1, 11.9)",Female,Total
age_category,40.9,36.7,45.1,Grouped,50_64,"40.9 (36.7, 45.1)",Male,Total
age_category,29.3,26.4,32.3,Grouped,65_74,"29.3 (26.4, 32.3)",Male,Total
age_category,21.1,18.6,23.7,Grouped,75_84,"21.1 (18.6, 23.7)",Male,Total
age_category,8.8,6.8,11.2,Grouped,85_over,"8.8 (6.8, 11.2)",Male,Total
bmi_category,1,0.5,2.2,Grouped,Underweight,"1 (0.5, 2.2)",Female,Total
bmi_category,13.4,11,16.2,Grouped,Normal,"13.4 (11, 16.2)",Female,Total
bmi_category,25.3,22.3,28.7,Grouped,Overweight,"25.3 (22.3, 28.7)",Female,Total
bmi_category,60.2,56.8,63.6,Grouped,Obese,"60.2 (56.8, 63.6)",Female,Total
bmi_category,0.1,0,0.3,Grouped,Underweight,"0.1 (0, 0.3)",Male,Total
bmi_category,13.2,11.1,15.7,Grouped,Normal,"13.2 (11.1, 15.7)",Male,Total
bmi_category,30.7,27.2,34.6,Grouped,Overweight,"30.7 (27.2, 34.6)",Male,Total
bmi_category,56,51.7,60.1,Grouped,Obese,"56 (51.7, 60.1)",Male,Total
education_h,31,27.4,34.8,Grouped,Less than lower secondary,"31 (27.4, 34.8)",Female,Total
education_h,12.5,10.1,15.4,Grouped,Tertiary,"12.5 (10.1, 15.4)",Female,Total
education_h,56.5,53,60,Grouped,Upper secondary and vocational training,"56.5 (53, 60)",Female,Total
education_h,25.6,21.8,29.8,Grouped,Less than lower secondary,"25.6 (21.8, 29.8)",Male,Total
education_h,19.4,16.4,22.9,Grouped,Tertiary,"19.4 (16.4, 22.9)",Male,Total
education_h,54.9,51.2,58.6,Grouped,Upper secondary and vocational training,"54.9 (51.2, 58.6)",Male,Total
hh_wealthquintile,41.8,37.8,45.9,Grouped,Lowest,"41.8 (37.8, 45.9)",Female,Total
hh_wealthquintile,24.8,20.5,29.7,Grouped,Low,"24.8 (20.5, 29.7)",Female,Total
hh_wealthquintile,16.6,13.4,20.5,Grouped,Medium,"16.6 (13.4, 20.5)",Female,Total
hh_wealthquintile,10.4,8.1,13.3,Grouped,High,"10.4 (8.1, 13.3)",Female,Total
hh_wealthquintile,6.4,4.4,9.2,Grouped,Highest,"6.4 (4.4, 9.2)",Female,Total
hh_wealthquintile,28.3,25.1,31.8,Grouped,Lowest,"28.3 (25.1, 31.8)",Male,Total
hh_wealthquintile,26.1,22.6,29.9,Grouped,Low,"26.1 (22.6, 29.9)",Male,Total
hh_wealthquintile,18.6,16.1,21.3,Grouped,Medium,"18.6 (16.1, 21.3)",Male,Total
hh_wealthquintile,17.6,15.2,20.3,Grouped,High,"17.6 (15.2, 20.3)",Male,Total
hh_wealthquintile,9.4,7.1,12.3,Grouped,Highest,"9.4 (7.1, 12.3)",Male,Total
smoke,48.9,45.7,52.1,Grouped,Never,"48.9 (45.7, 52.1)",Female,Total
smoke,36.4,33.3,39.7,Grouped,Former,"36.4 (33.3, 39.7)",Female,Total
smoke,14.7,12.3,17.5,Grouped,Current,"14.7 (12.3, 17.5)",Female,Total
smoke,28.6,25.3,32,Grouped,Never,"28.6 (25.3, 32)",Male,Total
smoke,58.5,55.7,61.2,Grouped,Former,"58.5 (55.7, 61.2)",Male,Total
smoke,13,10.5,15.9,Grouped,Current,"13 (10.5, 15.9)",Male,Total
laborforce,15.7,13.2,18.7,Grouped,employed,"15.7 (13.2, 18.7)",Female,Total
laborforce,18.8,16.2,21.7,Grouped,other,"18.8 (16.2, 21.7)",Female,Total
laborforce,65.5,61.6,69.2,Grouped,retired,"65.5 (61.6, 69.2)",Female,Total
laborforce,22.1,18.8,25.9,Grouped,employed,"22.1 (18.8, 25.9)",Male,Total
laborforce,6.2,4.4,8.7,Grouped,other,"6.2 (4.4, 8.7)",Male,Total
laborforce,71.6,67.9,75.1,Grouped,retired,"71.6 (67.9, 75.1)",Male,Total
raceeth,13.7,9.9,18.7,Grouped,Hispanic,"13.7 (9.9, 18.7)",Female,Total
raceeth,17.9,15,21.2,Grouped,NH Black,"17.9 (15, 21.2)",Female,Total
raceeth,3.5,2.2,5.7,Grouped,NH Other,"3.5 (2.2, 5.7)",Female,Total
raceeth,64.8,60.1,69.3,Grouped,NH White,"64.8 (60.1, 69.3)",Female,Total
raceeth,12.4,9.5,16.1,Grouped,Hispanic,"12.4 (9.5, 16.1)",Male,Total
raceeth,12.2,9.9,15,Grouped,NH Black,"12.2 (9.9, 15)",Male,Total
raceeth,3.4,2.3,5.1,Grouped,NH Other,"3.4 (2.3, 5.1)",Male,Total
raceeth,71.9,67.8,75.7,Grouped,NH White,"71.9 (67.8, 75.7)",Male,Total
race,74.1,70.2,77.7,Grouped,1,"74.1 (70.2, 77.7)",Female,Total
race,18.3,15.4,21.6,Grouped,2,"18.3 (15.4, 21.6)",Female,Total
race,7.6,5.5,10.3,Grouped,3,"7.6 (5.5, 10.3)",Female,Total
race,79.5,76.3,82.3,Grouped,1,"79.5 (76.3, 82.3)",Male,Total
race,12.4,10.1,15.2,Grouped,2,"12.4 (10.1, 15.2)",Male,Total
race,8.1,6.4,10.2,Grouped,3,"8.1 (6.4, 10.2)",Male,Total
ethnicity,86.3,81.3,90.1,Grouped,0,"86.3 (81.3, 90.1)",Female,Total
ethnicity,13.7,9.9,18.7,Grouped,1,"13.7 (9.9, 18.7)",Female,Total
ethnicity,87.6,83.9,90.5,Grouped,0,"87.6 (83.9, 90.5)",Male,Total
ethnicity,12.4,9.5,16.1,Grouped,1,"12.4 (9.5, 16.1)",Male,Total
age,69.1,68.4,69.9,Continuous,NA,"69.1 (68.4, 69.9)",Total,No
hh_size,2.3,2.2,2.4,Continuous,NA,"2.3 (2.2, 2.4)",Total,No
hh_children,3.3,3.2,3.5,Continuous,NA,"3.3 (3.2, 3.5)",Total,No
lengthmar,37.7,36.4,38.9,Continuous,NA,"37.7 (36.4, 38.9)",Total,No
bmi,31.4,31,31.7,Continuous,NA,"31.4 (31, 31.7)",Total,No
height,1.7,1.7,1.7,Continuous,NA,"1.7 (1.7, 1.7)",Total,No
weight,87.1,85.9,88.3,Continuous,NA,"87.1 (85.9, 88.3)",Total,No
waistcircumference,108.8,107.9,109.7,Continuous,NA,"108.8 (107.9, 109.7)",Total,No
adl_some6,0.5,0.4,0.6,Continuous,NA,"0.5 (0.4, 0.6)",Total,No
iadl_some4,0.4,0.3,0.4,Continuous,NA,"0.4 (0.3, 0.4)",Total,No
a1c_adj,6.9,6.8,7,Continuous,NA,"6.9 (6.8, 7)",Total,No
sbp,133.5,132.1,134.8,Continuous,NA,"133.5 (132.1, 134.8)",Total,No
dbp,77.6,76.7,78.5,Continuous,NA,"77.6 (76.7, 78.5)",Total,No
tc_adj,184.3,181.6,187,Continuous,NA,"184.3 (181.6, 187)",Total,No
hdl_adj,49.2,48.3,50.1,Continuous,NA,"49.2 (48.3, 50.1)",Total,No
nonhdl_adj,136.3,133.6,139,Continuous,NA,"136.3 (133.6, 139)",Total,No
nfalls,1.3,1,1.5,Continuous,NA,"1.3 (1, 1.5)",Total,No
