variable,group,Total_Total,Female_Total,Male_Total,Total_No,Total_Yes
nfalls,NA,"1.6 (1.4, 1.8)","1.6 (1.3, 1.8)","1.6 (1.3, 1.9)","1.3 (1, 1.5)","2.3 (1.9, 2.7)"
agediagnosed_dm,NA,"57.9 (57.2, 58.6)","58.1 (57.1, 59)","57.7 (56.7, 58.7)","58.3 (57.6, 59.1)","56.9 (55.6, 58.2)"
moderate_pa,NA,"1.7 (1.6, 1.8)","1.5 (1.4, 1.7)","1.9 (1.8, 2.1)","1.9 (1.8, 2.1)","1.3 (1.1, 1.5)"
vigorous_pa,NA,"0.6 (0.6, 0.7)","0.4 (0.4, 0.5)","0.8 (0.7, 0.9)","0.7 (0.6, 0.8)","0.4 (0.3, 0.5)"
polypharmacy,NA,"3.7 (3.6, 3.8)","3.8 (3.6, 3.9)","3.6 (3.5, 3.7)","3.4 (3.3, 3.5)","4.3 (4.1, 4.5)"
cesd,NA,"2.1 (2, 2.2)","2.3 (2.1, 2.4)","1.9 (1.8, 2.1)","0.7 (0.7, 0.8)","4.9 (4.8, 5.1)"
fu_age,NA,"68.8 (67.6, 70)","68.2 (66.9, 69.6)","69.4 (67.8, 71)","69.3 (67.8, 70.7)","67.8 (65.9, 69.7)"
medication_bp,NA,"73 (70.4, 75.5)","76.3 (73.1, 79.2)","69.8 (66.2, 73.2)","72.4 (69.2, 75.3)","74.3 (69.2, 78.8)"
medication_dm,NA,"83.7 (81.7, 85.6)","82.6 (79.5, 85.3)","84.9 (82.1, 87.3)","83.3 (80.6, 85.8)","84.6 (80.7, 87.8)"
rxdiabi,NA,"27.2 (25.1, 29.5)","27.3 (24.6, 30.2)","27.2 (24, 30.6)","25.1 (22.9, 27.5)","31.6 (26.7, 36.8)"
rxdiabo,NA,"70.8 (68.4, 73.1)","68.9 (65.4, 72.2)","72.6 (68.8, 76)","71.4 (68.2, 74.3)","69.5 (65.7, 73.2)"
rxstrok,NA,"4.9 (4.1, 5.8)","3.8 (2.8, 5.3)","5.9 (4.7, 7.5)","3.9 (3, 5)","7 (5.2, 9.3)"
rxangina,NA,"5.6 (4.5, 7)","5.6 (4.1, 7.5)","5.7 (4.1, 7.7)","4.2 (3, 5.8)","8.7 (6.6, 11.2)"
rxchf,NA,"8.7 (7.5, 10)","9.3 (7.5, 11.4)","8.1 (6.7, 9.9)","6.6 (5.3, 8.1)","13.1 (10.4, 16.4)"
rxarthr,NA,"29.5 (27.7, 31.4)","35.1 (31.9, 38.5)","24 (21.3, 27)","25.3 (22.9, 27.8)","38.2 (34.3, 42.2)"
rxlung,NA,"11 (9.4, 12.8)","13.7 (11.4, 16.5)","8.3 (6.5, 10.5)","8.6 (7.2, 10.4)","15.8 (12, 20.4)"
rxpsych,NA,"19.6 (17.5, 22)","24.4 (20.9, 28.1)","15.1 (12.3, 18.3)","11.1 (9.2, 13.3)","37.4 (33.2, 41.8)"
rxcancr,NA,"1.3 (0.8, 2)","1 (0.6, 1.9)","1.5 (0.8, 2.7)","0.9 (0.5, 1.5)","2.1 (1.1, 3.9)"
rxhrtat,NA,"3.9 (2.9, 5.1)","3.5 (2.5, 4.9)","4.2 (3, 5.8)","3.4 (2.5, 4.6)","4.8 (3.1, 7.3)"
rxheart,NA,"27.1 (25, 29.4)","24.5 (21.6, 27.6)","29.7 (26.5, 33.1)","25 (22.7, 27.4)","31.5 (27.2, 36.2)"
rxmemry,NA,"2.9 (2.2, 3.9)","2.6 (1.7, 4)","3.2 (2.1, 4.9)","2.5 (1.7, 3.7)","3.9 (2.5, 6.1)"
rxhchol,NA,"65.2 (62.6, 67.8)","62.7 (58.9, 66.4)","67.7 (64.2, 70.9)","66 (63, 68.8)","63.7 (58.8, 68.2)"
rxbreath,NA,"21.8 (20.2, 23.6)","26.5 (24, 29.2)","17.3 (15, 20)","17.5 (15.6, 19.6)","30.8 (26.9, 34.9)"
rxstomach,NA,"23.1 (21.2, 25.1)","25.5 (22.3, 29.1)","20.8 (18.4, 23.4)","18.4 (16.5, 20.6)","32.8 (29.1, 36.8)"
rxdepres,NA,"24.6 (22.4, 26.9)","29 (25.7, 32.5)","20.4 (17.7, 23.4)","15.1 (12.8, 17.7)","44.3 (39.8, 49)"
alcohol,NA,"38.6 (35.9, 41.4)","27.3 (24.2, 30.7)","49.5 (45.4, 53.6)","39.9 (36.9, 43)","35.9 (31.6, 40.4)"
diagnosed_bp,NA,"77.8 (75.6, 79.9)","81.1 (78.3, 83.6)","74.6 (71.4, 77.6)","76 (73.3, 78.6)","81.5 (77.8, 84.7)"
htn,NA,"84.8 (83, 86.5)","86.7 (84.3, 88.8)","83 (80.2, 85.5)","83.6 (81.4, 85.5)","87.5 (84.3, 90.2)"
alzh_demen,NA,"3.4 (2.6, 4.4)","3.3 (2.2, 4.7)","3.4 (2.3, 5.1)","2.6 (1.9, 3.6)","4.9 (3, 7.7)"
bmi_underweight,NA,"0.6 (0.3, 1.1)","1 (0.5, 2.2)","0.1 (0, 0.3)","0.6 (0.3, 1.5)","0.4 (0.2, 1.1)"
bmi_overweight,NA,"28.1 (25.5, 30.8)","25.3 (22.3, 28.7)","30.7 (27.2, 34.6)","29 (25.7, 32.6)","26 (21.6, 30.8)"
bmi_obese,NA,"58.1 (55.5, 60.5)","60.2 (56.7, 63.6)","56 (51.7, 60.1)","56.3 (52.8, 59.8)","62.1 (57.8, 66.3)"
fall_any,NA,"28.5 (26.2, 30.8)","29.1 (26.3, 32)","27.9 (24.6, 31.4)","25.9 (23.3, 28.8)","33.7 (29.5, 38.1)"
fall_injury,NA,"28.7 (24.7, 33)","35.1 (29.3, 41.5)","22.1 (17.5, 27.5)","23.9 (20.2, 28.1)","36.3 (29.5, 43.6)"
fracture_hip,NA,"4.4 (3.5, 5.4)","6.1 (4.8, 7.7)","2.7 (1.8, 4)","3.4 (2.6, 4.5)","6.7 (4.7, 9.5)"
control_a1c,NA,"70.2 (67.3, 72.9)","71.5 (68.2, 74.6)","68.8 (64.7, 72.7)","71.7 (68.8, 74.4)","67 (61.3, 72.2)"
control_bp,NA,"62.7 (60, 65.3)","61.8 (58.6, 65)","63.6 (59.3, 67.6)","62.2 (59.1, 65.1)","63.9 (59.4, 68.2)"
control_chol,NA,"46.2 (43.2, 49.1)","47 (43.5, 50.5)","45.4 (40.6, 50.2)","46 (42.4, 49.7)","46.5 (41.1, 52)"
control_joint,NA,"22.9 (20.6, 25.3)","23.6 (21.1, 26.3)","22.2 (18.6, 26.3)","23.4 (20.6, 26.5)","21.7 (18.4, 25.5)"
heavydrinker,NA,"5.2 (4.3, 6.3)","3.5 (2.4, 5)","6.8 (5.4, 8.7)","5.8 (4.7, 7.3)","3.9 (2.5, 6)"
vision_impairment,NA,"16.7 (14.8, 18.9)","19.2 (16.3, 22.6)","14.3 (11.7, 17.5)","12.4 (10.3, 14.8)","25.8 (21.9, 30.2)"
balance_impairment,NA,"26.1 (23.5, 28.9)","26.3 (22.9, 29.9)","26 (22.4, 30.1)","27.5 (24.8, 30.4)","22.6 (18.1, 27.8)"
married,NA,"54.9 (52.2, 57.5)","39.7 (36.7, 42.7)","69.6 (66, 72.9)","58.6 (55.6, 61.6)","47 (42.8, 51.3)"
cesd_ge3,NA,"32.5 (30.3, 34.9)","35.2 (32.2, 38.4)","29.9 (26.8, 33.3)",NA,NA
cesd_ge5,NA,"17.8 (15.9, 19.9)","20.1 (17.4, 23.1)","15.6 (12.9, 18.8)","0 (0, 0)","54.8 (50.7, 58.9)"
cesd_ge6,NA,"12 (10.3, 13.9)","13.8 (11.7, 16.3)","10.2 (7.9, 13.1)","0 (0, 0)","36.8 (33, 40.8)"
age_category,50_64,"40.5 (37.5, 43.6)","40.1 (36.1, 44.3)","40.9 (36.7, 45.1)","37.9 (34.5, 41.4)","45.9 (40.9, 51)"
age_category,65_74,"28.7 (26.9, 30.6)","28.1 (25.6, 30.9)","29.3 (26.4, 32.3)","31 (28.7, 33.4)","24 (21.1, 27.2)"
age_category,75_84,"21.5 (19.5, 23.6)","21.9 (19.1, 25)","21.1 (18.6, 23.7)","21.2 (19.1, 23.6)","22 (18.7, 25.7)"
age_category,85_over,"9.3 (8, 10.8)","9.8 (8.1, 11.9)","8.8 (6.8, 11.2)","9.9 (8.3, 11.8)","8.1 (6.2, 10.5)"
bmi_category,Underweight,"0.6 (0.3, 1.1)","1 (0.5, 2.2)","0.1 (0, 0.3)","0.6 (0.3, 1.5)","0.4 (0.2, 1.1)"
bmi_category,Normal,"13.3 (11.7, 15)","13.4 (11, 16.2)","13.2 (11.1, 15.7)","14.1 (12.1, 16.3)","11.5 (8.7, 15)"
bmi_category,Overweight,"28.1 (25.5, 30.8)","25.3 (22.3, 28.7)","30.7 (27.2, 34.6)","29 (25.7, 32.6)","26 (21.6, 30.8)"
bmi_category,Obese,"58.1 (55.5, 60.5)","60.2 (56.8, 63.6)","56 (51.7, 60.1)","56.3 (52.8, 59.8)","62.1 (57.8, 66.3)"
education_h,Less than lower secondary,"28.3 (25.2, 31.6)","31 (27.4, 34.8)","25.6 (21.8, 29.8)","24.1 (20.7, 27.8)","36.9 (31.8, 42.4)"
education_h,Tertiary,"16 (13.9, 18.5)","12.5 (10.1, 15.4)","19.4 (16.4, 22.9)","18.1 (15.6, 21)","11.7 (8.5, 15.8)"
education_h,Upper secondary and vocational training,"55.7 (52.9, 58.5)","56.5 (53, 60)","54.9 (51.2, 58.6)","57.8 (54, 61.5)","51.4 (46.2, 56.4)"
hh_wealthquintile,Lowest,"34.2 (31.8, 36.7)","41.8 (37.8, 45.9)","28.3 (25.1, 31.8)","28.6 (26.1, 31.3)","46 (40.4, 51.6)"
hh_wealthquintile,Low,"25.5 (22.5, 28.8)","24.8 (20.5, 29.7)","26.1 (22.6, 29.9)","25.3 (22, 29)","26 (21.5, 31)"
hh_wealthquintile,Medium,"17.7 (15.7, 20)","16.6 (13.4, 20.5)","18.6 (16.1, 21.3)","19.6 (17.2, 22.3)","13.7 (11.2, 16.6)"
hh_wealthquintile,High,"14.5 (12.5, 16.7)","10.4 (8.1, 13.3)","17.6 (15.2, 20.3)","17.1 (14.2, 20.3)","9 (6.4, 12.4)"
hh_wealthquintile,Highest,"8.1 (6.3, 10.4)","6.4 (4.4, 9.2)","9.4 (7.1, 12.3)","9.4 (7.4, 11.8)","5.4 (3, 9.6)"
smoke,Never,"38.5 (36.4, 40.7)","48.9 (45.7, 52.1)","28.6 (25.3, 32)","40.3 (37.8, 42.8)","34.9 (30.4, 39.8)"
smoke,Former,"47.6 (45.4, 49.9)","36.4 (33.3, 39.7)","58.5 (55.7, 61.2)","48.6 (46.1, 51.1)","45.7 (40.9, 50.5)"
smoke,Current,"13.8 (12, 15.8)","14.7 (12.3, 17.5)","13 (10.5, 15.9)","11.1 (9.3, 13.3)","19.4 (15.9, 23.4)"
laborforce,employed,"19 (16.8, 21.4)","15.7 (13.2, 18.7)","22.1 (18.8, 25.9)","22.2 (19.4, 25.2)","12.4 (10, 15.4)"
laborforce,other,"12.4 (10.8, 14.2)","18.8 (16.2, 21.7)","6.2 (4.4, 8.7)","9.6 (8.1, 11.4)","18.1 (14.6, 22.2)"
laborforce,retired,"68.6 (65.7, 71.4)","65.5 (61.6, 69.2)","71.6 (67.9, 75.1)","68.2 (64.7, 71.4)","69.5 (65, 73.7)"
raceeth,Hispanic,"13.1 (10, 16.9)","13.7 (9.9, 18.7)","12.4 (9.5, 16.1)","10.6 (8, 14)","18.1 (13.3, 24.2)"
raceeth,NH Black,"15 (12.9, 17.4)","17.9 (15, 21.2)","12.2 (9.9, 15)","14.9 (12.4, 17.7)","15.4 (12.7, 18.4)"
raceeth,NH Other,"3.5 (2.5, 4.8)","3.5 (2.2, 5.7)","3.4 (2.3, 5.1)","3.4 (2.4, 4.9)","3.6 (1.9, 6.6)"
raceeth,NH White,"68.4 (64.5, 72.2)","64.8 (60.1, 69.3)","71.9 (67.8, 75.7)","71.1 (67, 74.9)","62.9 (57.2, 68.3)"
race,1,"76.8 (73.7, 79.7)","74.1 (70.2, 77.7)","79.5 (76.3, 82.3)","78.1 (74.8, 81.2)","74.1 (69.6, 78.2)"
race,2,"15.3 (13.2, 17.8)","18.3 (15.4, 21.6)","12.4 (10.1, 15.2)","15 (12.5, 17.9)","15.9 (13.3, 19)"
race,3,"7.8 (6.4, 9.6)","7.6 (5.5, 10.3)","8.1 (6.4, 10.2)","6.8 (5.3, 8.8)","10 (7.1, 13.8)"
ethnicity,0,"87 (83.1, 90)","86.3 (81.3, 90.1)","87.6 (83.9, 90.5)","89.4 (86, 92)","81.9 (75.8, 86.8)"
ethnicity,1,"13 (10, 16.9)","13.7 (9.9, 18.7)","12.4 (9.5, 16.1)","10.6 (8, 14)","18.1 (13.2, 24.2)"
